Id,Price
4567,168048.55316087906
5925,119305.56679232763
960,148908.88933417335
3848,103999.44715863312
746,202922.83674884282
868,343759.451061697
672,110778.11271905187
2471,210928.8894816115
4510,126270.91874666174
8354,242095.46871097139
6393,170452.36149280245
13270,229383.96514793622
5250,286607.68957703107
16751,180056.92733178724
11404,129391.20469231726
10588,330317.0328019677
14925,201750.56554895226
6791,228758.9314393739
16097,200467.4991178285
16428,348549.89240375685
6945,337683.05287293135
3190,192638.10302173634
15709,383701.21814592375
13155,170752.67270147204
7675,201771.47034481628
14686,242481.30204473482
609,151295.57490203858
11155,161956.45689815478
10869,201972.54038548545
15742,181192.44722423682
9245,202848.85755148358
3340,170050.3443825707
2359,283156.70736971055
8070,208798.94132344137
13707,136764.26159541387
16079,275236.187517658
15937,286647.6084705046
14090,185320.0353088696
9008,206990.2686748765
16384,170098.99956934788
11657,243233.22933592333
13151,161219.77803375758
8990,164071.2387014756
11857,187029.99192276175
1565,146538.18449054647
8174,92025.4577399089
9247,241404.09467048687
10478,226460.34360394016
15509,145856.1864148516
8306,220730.6743628388
6642,193492.5752512867
7472,224198.94808235383
15989,131736.75086330267
13682,139295.39150975755
163,259863.6223845323
7076,205699.75677770234
7478,336401.1068063859
3029,192524.4331485569
1814,141041.75362111998
10057,129342.43282420695
15100,194206.2483099485
12694,212182.00028711406
6291,185774.44416369862
12603,186613.20246935854
3218,218256.70512917626
13456,128403.8419044997
10170,234050.2358968992
4530,153046.015996587
13329,155320.1494711185
4820,153103.74952847254
10896,170661.11581840113
13416,123608.83260122653
2701,205364.3370087884
11265,332197.8251971279
9189,271507.83593732276
1858,178955.97584317392
14536,231199.28814564133
6199,284155.9801295659
14730,152646.29004366914
7510,248017.3000885176
15505,165688.57198565887
7446,182235.05191114286
14016,179801.5187517007
14113,103860.93367364444
8721,290220.1985877662
6193,287707.281701204
5717,172260.9408168807
5427,290394.2873744155
9520,525602.4943121341
6869,100971.81161828867
1658,155669.9257626094
6639,227603.03088376138
6283,189061.98108859576
6257,123165.99712794626
15235,195891.18150498855
902,202077.5608185885
8932,187269.0901076411
16469,329960.7306872194
2825,260307.73955476258
6450,444142.559017687
11366,179993.27735405415
3801,359898.8745787974
11385,201666.2456926616
1079,200774.99036570854
3202,241868.3737163671
676,222497.10261367474
6185,277084.72884731775
7730,157929.48440432872
2573,179947.8731610198
10978,204177.1321090543
10962,266861.97637366905
8870,194563.77687622586
8496,176000.88974069586
5517,181631.18250843487
927,191216.42138505887
13675,199632.41371839092
1499,220071.6251569521
15536,339725.28080966737
8602,341046.83308681694
12137,429751.22854679375
9865,263890.3514976328
16353,280479.1584477321
15908,210726.02176534454
3944,180872.0193571037
10359,206023.99787919657
15158,222961.42174317004
3259,242910.7455721706
7220,319825.3240781593
13843,201644.20160206858
16736,188945.99992377305
